Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(20293580k free), swap 38339764k(24456416k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/dumpExceeded.hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T22:23:24.156+0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->748K(9728K), 0.0011383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.864+0800: 0.879: [GC (Allocation Failure) [PSYoungGen: 2536K->496K(2560K)] 2796K->1004K(9728K), 0.0006828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.872+0800: 0.887: [GC (Allocation Failure) [PSYoungGen: 2544K->504K(2560K)] 3052K->1180K(9728K), 0.0006124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.876+0800: 0.890: [GC (Allocation Failure) [PSYoungGen: 2552K->488K(2560K)] 3228K->1420K(9728K), 0.0007083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.883+0800: 0.897: [GC (Allocation Failure) [PSYoungGen: 2536K->480K(2560K)] 3468K->1652K(9728K), 0.0012355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.889+0800: 0.904: [GC (Allocation Failure) [PSYoungGen: 2528K->508K(1536K)] 3700K->1912K(8704K), 0.0015281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.893+0800: 0.908: [GC (Allocation Failure) [PSYoungGen: 1532K->356K(2048K)] 2936K->2152K(9216K), 0.0013829 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.897+0800: 0.912: [GC (Allocation Failure) [PSYoungGen: 1380K->598K(2048K)] 3176K->2411K(9216K), 0.0024235 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.902+0800: 0.917: [GC (Allocation Failure) [PSYoungGen: 1622K->438K(2048K)] 3435K->2411K(9216K), 0.0033372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.909+0800: 0.924: [GC (Allocation Failure) [PSYoungGen: 1462K->320K(2048K)] 3435K->2603K(9216K), 0.0015673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.913+0800: 0.927: [GC (Allocation Failure) [PSYoungGen: 1344K->192K(2048K)] 3627K->2715K(9216K), 0.0009159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.916+0800: 0.931: [GC (Allocation Failure) [PSYoungGen: 1216K->288K(2048K)] 3739K->2947K(9216K), 0.0010067 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.920+0800: 0.935: [GC (Allocation Failure) [PSYoungGen: 1312K->210K(2048K)] 3971K->2981K(9216K), 0.0013001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.924+0800: 0.939: [GC (Allocation Failure) [PSYoungGen: 1234K->192K(2048K)] 4005K->3181K(9216K), 0.0010025 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.928+0800: 0.943: [GC (Allocation Failure) [PSYoungGen: 1216K->192K(2048K)] 4205K->3309K(9216K), 0.0021159 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.931+0800: 0.946: [GC (Allocation Failure) [PSYoungGen: 1216K->320K(2048K)] 4333K->3557K(9216K), 0.0008983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.934+0800: 0.949: [GC (Allocation Failure) [PSYoungGen: 1344K->256K(2048K)] 4581K->3613K(9216K), 0.0009909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.936+0800: 0.951: [GC (Allocation Failure) [PSYoungGen: 1280K->224K(2048K)] 4637K->3701K(9216K), 0.0009456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.939+0800: 0.954: [GC (Allocation Failure) [PSYoungGen: 1248K->288K(2048K)] 4725K->3909K(9216K), 0.0012953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.942+0800: 0.957: [GC (Allocation Failure) [PSYoungGen: 1312K->379K(2048K)] 4933K->4160K(9216K), 0.0017279 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.945+0800: 0.960: [GC (Allocation Failure) [PSYoungGen: 1403K->256K(2048K)] 5184K->4312K(9216K), 0.0019142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.948+0800: 0.963: [GC (Allocation Failure) [PSYoungGen: 1280K->256K(2048K)] 5336K->4448K(9216K), 0.0013714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.951+0800: 0.965: [GC (Allocation Failure) [PSYoungGen: 1280K->288K(2048K)] 5472K->4624K(9216K), 0.0010587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.953+0800: 0.968: [GC (Allocation Failure) [PSYoungGen: 1312K->224K(2048K)] 5648K->4688K(9216K), 0.0013834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.956+0800: 0.970: [GC (Allocation Failure) [PSYoungGen: 1248K->256K(2048K)] 5712K->4864K(9216K), 0.0016049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.959+0800: 0.974: [GC (Allocation Failure) [PSYoungGen: 1280K->288K(2048K)] 5888K->5032K(9216K), 0.0013184 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.962+0800: 0.977: [GC (Allocation Failure) [PSYoungGen: 1312K->192K(2048K)] 6056K->5056K(9216K), 0.0015128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.965+0800: 0.980: [GC (Allocation Failure) [PSYoungGen: 1216K->256K(2048K)] 6080K->5264K(9216K), 0.0012964 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.968+0800: 0.982: [GC (Allocation Failure) [PSYoungGen: 1280K->256K(2048K)] 6288K->5384K(9216K), 0.0028759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.973+0800: 0.987: [GC (Allocation Failure) [PSYoungGen: 1280K->320K(2048K)] 6408K->5584K(9216K), 0.0015956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.976+0800: 0.990: [GC (Allocation Failure) [PSYoungGen: 1262K->256K(2048K)] 6527K->5656K(9216K), 0.0039806 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.981+0800: 0.995: [GC (Allocation Failure) [PSYoungGen: 1280K->409K(2048K)] 6680K->5938K(9216K), 0.0011217 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.983+0800: 0.998: [GC (Allocation Failure) [PSYoungGen: 1433K->256K(2048K)] 6962K->6090K(9216K), 0.0013930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.986+0800: 1.000: [GC (Allocation Failure) [PSYoungGen: 1280K->256K(2048K)] 7114K->6218K(9216K), 0.0013206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.989+0800: 1.004: [GC (Allocation Failure) [PSYoungGen: 1280K->224K(2048K)] 7242K->6314K(9216K), 0.0023410 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.994+0800: 1.009: [GC (Allocation Failure) [PSYoungGen: 1248K->288K(2048K)] 7338K->6522K(9216K), 0.0026084 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:24.999+0800: 1.014: [GC (Allocation Failure) [PSYoungGen: 1312K->256K(2048K)] 7546K->6618K(9216K), 0.0022292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.003+0800: 1.018: [GC (Allocation Failure) [PSYoungGen: 1280K->224K(2560K)] 7642K->6722K(9728K), 0.0015335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.008+0800: 1.023: [GC (Allocation Failure) [PSYoungGen: 2272K->288K(2560K)] 8770K->6906K(9728K), 0.0039402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.015+0800: 1.029: [GC (Allocation Failure) [PSYoungGen: 2335K->384K(2560K)] 8954K->7234K(9728K), 0.0019470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.019+0800: 1.034: [GC (Allocation Failure) [PSYoungGen: 2432K->320K(2560K)] 9282K->7410K(9728K), 0.0016226 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.021+0800: 1.035: [Full GC (Ergonomics) [PSYoungGen: 320K->0K(2560K)] [ParOldGen: 7090K->5770K(7168K)] 7410K->5770K(9728K), [Metaspace: 4052K->4052K(1056768K)], 0.0467520 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-04-26T22:23:25.072+0800: 1.086: [GC (Allocation Failure) [PSYoungGen: 2048K->416K(2560K)] 7818K->6186K(9728K), 0.0022106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.078+0800: 1.093: [GC (Allocation Failure) [PSYoungGen: 2464K->480K(2560K)] 8234K->6522K(9728K), 0.0028304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.085+0800: 1.099: [GC (Allocation Failure) [PSYoungGen: 2528K->501K(1536K)] 8570K->6944K(8704K), 0.0031612 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.092+0800: 1.106: [GC (Allocation Failure) [PSYoungGen: 1525K->192K(2048K)] 7968K->7088K(9216K), 0.0032385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.095+0800: 1.110: [Full GC (Ergonomics) [PSYoungGen: 192K->0K(2048K)] [ParOldGen: 6896K->6736K(7168K)] 7088K->6736K(9216K), [Metaspace: 4342K->4342K(1056768K)], 0.0277326 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.125+0800: 1.139: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(2048K)] [ParOldGen: 6736K->6832K(7168K)] 7760K->6832K(9216K), [Metaspace: 4358K->4358K(1056768K)], 0.0311773 secs] [Times: user=0.20 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.158+0800: 1.172: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(2048K)] [ParOldGen: 6832K->6935K(7168K)] 7856K->6935K(9216K), [Metaspace: 4384K->4384K(1056768K)], 0.0199514 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2021-04-26T22:23:25.179+0800: 1.194: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(2048K)] [ParOldGen: 6935K->7043K(7168K)] 7959K->7043K(9216K), [Metaspace: 4441K->4441K(1056768K)], 0.0213482 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.203+0800: 1.217: [Full GC (Ergonomics) [PSYoungGen: 1024K->63K(2048K)] [ParOldGen: 7043K->7115K(7168K)] 8067K->7179K(9216K), [Metaspace: 4503K->4503K(1056768K)], 0.0134260 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
2021-04-26T22:23:25.218+0800: 1.232: [Full GC (Ergonomics) [PSYoungGen: 1024K->284K(2048K)] [ParOldGen: 7115K->7115K(7168K)] 8139K->7400K(9216K), [Metaspace: 4515K->4515K(1056768K)], 0.0164561 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.237+0800: 1.251: [Full GC (Ergonomics) [PSYoungGen: 1024K->392K(2048K)] [ParOldGen: 7115K->7086K(7168K)] 8139K->7478K(9216K), [Metaspace: 4520K->4520K(1056768K)], 0.0327272 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.271+0800: 1.285: [Full GC (Ergonomics) [PSYoungGen: 1024K->497K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7583K(9216K), [Metaspace: 4522K->4522K(1056768K)], 0.0245953 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.297+0800: 1.311: [Full GC (Ergonomics) [PSYoungGen: 1024K->532K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7618K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0206053 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.319+0800: 1.333: [Full GC (Ergonomics) [PSYoungGen: 1024K->598K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7684K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0156776 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.335+0800: 1.350: [Full GC (Ergonomics) [PSYoungGen: 1024K->655K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7741K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0202704 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.356+0800: 1.370: [Full GC (Ergonomics) [PSYoungGen: 1024K->704K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7791K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0195931 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.376+0800: 1.391: [Full GC (Ergonomics) [PSYoungGen: 1024K->747K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7834K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0204130 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.397+0800: 1.412: [Full GC (Ergonomics) [PSYoungGen: 1024K->784K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7871K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0193900 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.417+0800: 1.432: [Full GC (Ergonomics) [PSYoungGen: 1024K->816K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7903K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0192730 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.437+0800: 1.452: [Full GC (Ergonomics) [PSYoungGen: 1024K->844K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7930K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0215527 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.459+0800: 1.474: [Full GC (Ergonomics) [PSYoungGen: 1024K->868K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7954K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0181409 secs] [Times: user=0.22 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.478+0800: 1.492: [Full GC (Ergonomics) [PSYoungGen: 1024K->889K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7975K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0248115 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.503+0800: 1.517: [Full GC (Ergonomics) [PSYoungGen: 1024K->907K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->7993K(9216K), [Metaspace: 4523K->4523K(1056768K)], 0.0224835 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.526+0800: 1.540: [Full GC (Ergonomics) [PSYoungGen: 1024K->922K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8009K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0242782 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.550+0800: 1.565: [Full GC (Ergonomics) [PSYoungGen: 1024K->935K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8022K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0159834 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.566+0800: 1.581: [Full GC (Ergonomics) [PSYoungGen: 1024K->947K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8034K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0195629 secs] [Times: user=0.22 sys=0.02, real=0.02 secs] 
2021-04-26T22:23:25.586+0800: 1.601: [Full GC (Ergonomics) [PSYoungGen: 1024K->957K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8044K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0206126 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.607+0800: 1.622: [Full GC (Ergonomics) [PSYoungGen: 1024K->966K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8053K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0174645 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.625+0800: 1.640: [Full GC (Ergonomics) [PSYoungGen: 1024K->974K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8060K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0254642 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.651+0800: 1.666: [Full GC (Ergonomics) [PSYoungGen: 1024K->980K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8067K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0206606 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.672+0800: 1.687: [Full GC (Ergonomics) [PSYoungGen: 1024K->986K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8072K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0182442 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
