Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(21893212k free), swap 38339764k(26761236k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/heapdump.hprof -XX:InitialHeapSize=52428800 -XX:+ManagementServer -XX:MaxHeapSize=52428800 -XX:MetaspaceSize=67108864 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T21:51:02.617+0800: 1.212: [GC (Allocation Failure) [PSYoungGen: 12800K->2040K(14848K)] 12800K->2445K(49152K), 0.0027857 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:02.756+0800: 1.350: [GC (Allocation Failure) [PSYoungGen: 14840K->2040K(14848K)] 15245K->4064K(49152K), 0.0030031 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:02.860+0800: 1.454: [GC (Allocation Failure) [PSYoungGen: 14838K->2037K(14848K)] 16863K->5485K(49152K), 0.0022690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:02.924+0800: 1.518: [GC (Allocation Failure) [PSYoungGen: 14837K->2032K(14848K)] 18285K->7306K(49152K), 0.0030120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:02.988+0800: 1.582: [GC (GCLocker Initiated GC) [PSYoungGen: 14832K->2039K(14848K)] 20107K->9168K(49152K), 0.0031317 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.150+0800: 1.744: [GC (Allocation Failure) [PSYoungGen: 14839K->2045K(9728K)] 21981K->10764K(44032K), 0.0033820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.228+0800: 1.823: [GC (Allocation Failure) [PSYoungGen: 9725K->1955K(9728K)] 18444K->11834K(44032K), 0.0034400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.311+0800: 1.905: [GC (Allocation Failure) [PSYoungGen: 9635K->1821K(11776K)] 19514K->12108K(46080K), 0.0062823 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-04-26T21:51:03.399+0800: 1.994: [GC (Allocation Failure) [PSYoungGen: 8477K->1796K(11776K)] 18764K->12626K(46080K), 0.0020799 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.429+0800: 2.023: [GC (Allocation Failure) [PSYoungGen: 8452K->1192K(11776K)] 19282K->12704K(46080K), 0.0018557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.487+0800: 2.081: [GC (Allocation Failure) [PSYoungGen: 7848K->768K(11776K)] 19360K->12856K(46080K), 0.0013241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.535+0800: 2.129: [GC (Allocation Failure) [PSYoungGen: 7424K->832K(10752K)] 19512K->13224K(45056K), 0.0009727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.580+0800: 2.173: [GC (Allocation Failure) [PSYoungGen: 6464K->672K(11264K)] 18856K->13357K(45568K), 0.0012890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.615+0800: 2.208: [GC (Allocation Failure) [PSYoungGen: 6304K->720K(11776K)] 18989K->13653K(46080K), 0.0010862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.662+0800: 2.257: [GC (Allocation Failure) [PSYoungGen: 6864K->1022K(11264K)] 19797K->14226K(45568K), 0.0022177 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.723+0800: 2.318: [GC (Allocation Failure) [PSYoungGen: 7166K->896K(11776K)] 20370K->14315K(46080K), 0.0012932 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.767+0800: 2.361: [GC (Allocation Failure) [PSYoungGen: 7552K->1003K(11776K)] 20971K->14751K(46080K), 0.0010738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.815+0800: 2.410: [GC (Allocation Failure) [PSYoungGen: 7659K->972K(12288K)] 21407K->15031K(46592K), 0.0019977 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.878+0800: 2.472: [GC (Allocation Failure) [PSYoungGen: 8140K->1024K(11776K)] 22199K->15291K(46080K), 0.0018955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:03.956+0800: 2.550: [GC (Allocation Failure) [PSYoungGen: 8192K->1237K(12288K)] 22459K->16033K(46592K), 0.0015932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:04.024+0800: 2.618: [GC (Allocation Failure) [PSYoungGen: 8917K->915K(12288K)] 23713K->16343K(46592K), 0.0026696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:04.087+0800: 2.682: [GC (Allocation Failure) [PSYoungGen: 8595K->1482K(12800K)] 24023K->17406K(47104K), 0.0023288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.176+0800: 3.770: [GC (Allocation Failure) [PSYoungGen: 10186K->790K(12800K)] 26110K->17306K(47104K), 0.0021706 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.249+0800: 3.844: [GC (Allocation Failure) [PSYoungGen: 9494K->1216K(13312K)] 26010K->17965K(47616K), 0.0021761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.302+0800: 3.895: [GC (Allocation Failure) [PSYoungGen: 10432K->858K(12800K)] 27181K->18063K(47104K), 0.0020457 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.380+0800: 3.974: [GC (GCLocker Initiated GC) [PSYoungGen: 10074K->970K(13312K)] 27279K->18534K(47616K), 0.0026080 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.454+0800: 4.049: [GC (Allocation Failure) [PSYoungGen: 10698K->1262K(13312K)] 28270K->19196K(47616K), 0.0018738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.518+0800: 4.111: [GC (Allocation Failure) [PSYoungGen: 10990K->1631K(13824K)] 28924K->20196K(48128K), 0.0022761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:05.600+0800: 4.194: [GC (Allocation Failure) [PSYoungGen: 11871K->1605K(13312K)] 30436K->20971K(47616K), 0.0019207 secs] [Times: user=0.05 sys=0.03, real=0.00 secs] 
2021-04-26T21:51:10.358+0800: 8.952: [GC (Allocation Failure) [PSYoungGen: 11845K->1216K(13824K)] 31211K->21277K(48128K), 0.0043615 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:10.428+0800: 9.022: [GC (Allocation Failure) [PSYoungGen: 11582K->3061K(13824K)] 31644K->24651K(48128K), 0.0040966 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:10.435+0800: 9.030: [GC (Allocation Failure) [PSYoungGen: 13813K->3070K(8704K)] 35403K->32948K(43008K), 0.0088760 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-04-26T21:51:10.446+0800: 9.041: [GC (Allocation Failure) [PSYoungGen: 8702K->5630K(11264K)] 38580K->37251K(45568K), 0.0059869 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-04-26T21:51:10.452+0800: 9.047: [Full GC (Ergonomics) [PSYoungGen: 5630K->0K(11264K)] [ParOldGen: 31621K->27279K(34304K)] 37251K->27279K(45568K), [Metaspace: 33577K->33575K(1081344K)], 0.1302443 secs] [Times: user=0.55 sys=0.00, real=0.13 secs] 
2021-04-26T21:51:10.585+0800: 9.179: [Full GC (Ergonomics) [PSYoungGen: 5632K->0K(11264K)] [ParOldGen: 30444K->33524K(34304K)] 36076K->33524K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1737945 secs] [Times: user=0.89 sys=0.00, real=0.17 secs] 
2021-04-26T21:51:10.761+0800: 9.355: [Full GC (Ergonomics) [PSYoungGen: 5632K->5118K(11264K)] [ParOldGen: 33524K->34017K(34304K)] 39156K->39136K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1340973 secs] [Times: user=0.61 sys=0.05, real=0.13 secs] 
2021-04-26T21:51:10.896+0800: 9.490: [Full GC (Ergonomics) [PSYoungGen: 5632K->5631K(11264K)] [ParOldGen: 34017K->34017K(34304K)] 39649K->39649K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1075058 secs] [Times: user=0.70 sys=0.00, real=0.11 secs] 
2021-04-26T21:51:11.004+0800: 9.598: [Full GC (Ergonomics) [PSYoungGen: 5632K->5631K(11264K)] [ParOldGen: 34017K->34017K(34304K)] 39649K->39649K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0954998 secs] [Times: user=0.72 sys=0.02, real=0.10 secs] 
2021-04-26T21:51:11.100+0800: 9.694: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34017K->34017K(34304K)] 39649K->39649K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1029568 secs] [Times: user=0.66 sys=0.03, real=0.10 secs] 
2021-04-26T21:51:11.203+0800: 9.797: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34019K->34019K(34304K)] 39651K->39651K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0933187 secs] [Times: user=0.72 sys=0.00, real=0.09 secs] 
2021-04-26T21:51:11.296+0800: 9.890: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34021K->34021K(34304K)] 39653K->39653K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1016443 secs] [Times: user=0.64 sys=0.00, real=0.10 secs] 
2021-04-26T21:51:11.398+0800: 9.992: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34023K->34023K(34304K)] 39655K->39655K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1010533 secs] [Times: user=0.70 sys=0.00, real=0.10 secs] 
2021-04-26T21:51:11.500+0800: 10.094: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34025K->34025K(34304K)] 39657K->39657K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1003200 secs] [Times: user=0.73 sys=0.00, real=0.10 secs] 
2021-04-26T21:51:11.600+0800: 10.194: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34027K->34027K(34304K)] 39659K->39659K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0889555 secs] [Times: user=0.56 sys=0.02, real=0.09 secs] 
2021-04-26T21:51:11.689+0800: 10.284: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34029K->34029K(34304K)] 39661K->39661K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0918162 secs] [Times: user=0.61 sys=0.02, real=0.09 secs] 
2021-04-26T21:51:11.781+0800: 10.376: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34031K->34031K(34304K)] 39663K->39663K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1028801 secs] [Times: user=0.70 sys=0.01, real=0.10 secs] 
2021-04-26T21:51:11.885+0800: 10.479: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34033K->34033K(34304K)] 39665K->39665K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0986794 secs] [Times: user=0.55 sys=0.00, real=0.10 secs] 
2021-04-26T21:51:11.984+0800: 10.578: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34035K->34035K(34304K)] 39667K->39667K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0899027 secs] [Times: user=0.64 sys=0.00, real=0.09 secs] 
2021-04-26T21:51:12.073+0800: 10.668: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34037K->34037K(34304K)] 39669K->39669K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0903678 secs] [Times: user=0.69 sys=0.00, real=0.09 secs] 
2021-04-26T21:51:12.164+0800: 10.758: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34039K->34039K(34304K)] 39671K->39671K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1034774 secs] [Times: user=0.73 sys=0.00, real=0.10 secs] 
2021-04-26T21:51:12.267+0800: 10.862: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34041K->34041K(34304K)] 39673K->39673K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.1039970 secs] [Times: user=0.78 sys=0.00, real=0.11 secs] 
2021-04-26T21:51:12.373+0800: 10.967: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34043K->34043K(34304K)] 39675K->39675K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0955674 secs] [Times: user=0.59 sys=0.05, real=0.10 secs] 
2021-04-26T21:51:12.468+0800: 11.062: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34045K->34045K(34304K)] 39677K->39677K(45568K), [Metaspace: 33575K->33575K(1081344K)], 0.0832306 secs] [Times: user=0.73 sys=0.00, real=0.08 secs] 
2021-04-26T21:51:12.552+0800: 11.146: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 34047K->33937K(34304K)] 39679K->39569K(45568K), [Metaspace: 33575K->33560K(1081344K)], 0.1676743 secs] [Times: user=1.36 sys=0.02, real=0.17 secs] 
2021-04-26T21:51:12.719+0800: 11.314: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33939K->33939K(34304K)] 39571K->39571K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.0894744 secs] [Times: user=0.67 sys=0.00, real=0.09 secs] 
2021-04-26T21:51:12.809+0800: 11.403: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33941K->33941K(34304K)] 39573K->39573K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.1038666 secs] [Times: user=0.72 sys=0.05, real=0.10 secs] 
2021-04-26T21:51:12.913+0800: 11.508: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33943K->33943K(34304K)] 39575K->39575K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.0941047 secs] [Times: user=0.58 sys=0.00, real=0.09 secs] 
2021-04-26T21:51:13.007+0800: 11.602: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33945K->33945K(34304K)] 39577K->39577K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.0986610 secs] [Times: user=0.59 sys=0.00, real=0.10 secs] 
2021-04-26T21:51:13.107+0800: 11.701: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33947K->33947K(34304K)] 39579K->39579K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.0995998 secs] [Times: user=0.56 sys=0.00, real=0.10 secs] 
