Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(20242496k free), swap 38339764k(24411648k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/dumpHeap1.hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseGCOverheadLimit -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T22:32:59.427+0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->752K(9728K), 0.0007287 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.078+0800: 0.820: [GC (Allocation Failure) [PSYoungGen: 2536K->488K(2560K)] 2800K->944K(9728K), 0.0009252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.084+0800: 0.826: [GC (Allocation Failure) [PSYoungGen: 2536K->480K(2560K)] 2992K->1216K(9728K), 0.0008688 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.091+0800: 0.833: [GC (Allocation Failure) [PSYoungGen: 2528K->480K(2560K)] 3264K->1416K(9728K), 0.0007509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.099+0800: 0.841: [GC (Allocation Failure) [PSYoungGen: 2528K->496K(2560K)] 3464K->1672K(9728K), 0.0012691 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.106+0800: 0.848: [GC (Allocation Failure) [PSYoungGen: 2544K->492K(1536K)] 3720K->1932K(8704K), 0.0013859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.110+0800: 0.852: [GC (Allocation Failure) [PSYoungGen: 1516K->292K(2048K)] 2956K->2172K(9216K), 0.0010665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.113+0800: 0.855: [GC (Allocation Failure) [PSYoungGen: 1316K->502K(2048K)] 3196K->2399K(9216K), 0.0007722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.116+0800: 0.858: [GC (Allocation Failure) [PSYoungGen: 1526K->470K(2048K)] 3423K->2479K(9216K), 0.0015740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.119+0800: 0.862: [GC (Allocation Failure) [PSYoungGen: 1494K->352K(2048K)] 3503K->2663K(9216K), 0.0009039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.122+0800: 0.864: [GC (Allocation Failure) [PSYoungGen: 1376K->320K(2048K)] 3687K->2871K(9216K), 0.0009605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.124+0800: 0.866: [GC (Allocation Failure) [PSYoungGen: 1344K->288K(2048K)] 3895K->2983K(9216K), 0.0007959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.126+0800: 0.869: [GC (Allocation Failure) [PSYoungGen: 1312K->274K(2048K)] 4007K->3113K(9216K), 0.0013087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.129+0800: 0.872: [GC (Allocation Failure) [PSYoungGen: 1298K->288K(2048K)] 4137K->3345K(9216K), 0.0008807 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.131+0800: 0.874: [GC (Allocation Failure) [PSYoungGen: 1312K->256K(2048K)] 4369K->3441K(9216K), 0.0009809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.134+0800: 0.877: [GC (Allocation Failure) [PSYoungGen: 1280K->224K(2048K)] 4465K->3529K(9216K), 0.0011545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.138+0800: 0.880: [GC (Allocation Failure) [PSYoungGen: 1248K->192K(2048K)] 4553K->3625K(9216K), 0.0009810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.141+0800: 0.883: [GC (Allocation Failure) [PSYoungGen: 1216K->192K(2048K)] 4649K->3745K(9216K), 0.0018828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.144+0800: 0.886: [GC (Allocation Failure) [PSYoungGen: 1216K->224K(2048K)] 4769K->3905K(9216K), 0.0014133 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.147+0800: 0.889: [GC (Allocation Failure) [PSYoungGen: 1248K->283K(2048K)] 4929K->4084K(9216K), 0.0012196 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.150+0800: 0.892: [GC (Allocation Failure) [PSYoungGen: 1307K->320K(2048K)] 5108K->4388K(9216K), 0.0012851 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.152+0800: 0.895: [GC (Allocation Failure) [PSYoungGen: 1344K->224K(2048K)] 5412K->4428K(9216K), 0.0011807 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.156+0800: 0.899: [GC (Allocation Failure) [PSYoungGen: 1248K->224K(2048K)] 5452K->4556K(9216K), 0.0013530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.160+0800: 0.902: [GC (Allocation Failure) [PSYoungGen: 1248K->288K(2048K)] 5580K->4764K(9216K), 0.0010850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.162+0800: 0.904: [GC (Allocation Failure) [PSYoungGen: 1312K->320K(2048K)] 5788K->4924K(9216K), 0.0009623 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.165+0800: 0.907: [GC (Allocation Failure) [PSYoungGen: 1344K->320K(2048K)] 5948K->5068K(9216K), 0.0012621 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.167+0800: 0.910: [GC (Allocation Failure) [PSYoungGen: 1344K->288K(2048K)] 6092K->5172K(9216K), 0.0019928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.170+0800: 0.913: [GC (Allocation Failure) [PSYoungGen: 1312K->288K(2048K)] 6196K->5300K(9216K), 0.0020773 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.174+0800: 0.917: [GC (Allocation Failure) [PSYoungGen: 1312K->288K(2048K)] 6324K->5420K(9216K), 0.0017347 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.178+0800: 0.920: [GC (Allocation Failure) [PSYoungGen: 1312K->320K(2048K)] 6444K->5588K(9216K), 0.0024716 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.182+0800: 0.925: [GC (Allocation Failure) [PSYoungGen: 1263K->320K(2048K)] 6531K->5724K(9216K), 0.0015731 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.185+0800: 0.927: [GC (Allocation Failure) [PSYoungGen: 1344K->441K(2048K)] 6748K->5982K(9216K), 0.0013147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.188+0800: 0.930: [GC (Allocation Failure) [PSYoungGen: 1465K->288K(2048K)] 7006K->6142K(9216K), 0.0014575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.190+0800: 0.933: [GC (Allocation Failure) [PSYoungGen: 1312K->288K(2048K)] 7166K->6294K(9216K), 0.0015891 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.193+0800: 0.935: [GC (Allocation Failure) [PSYoungGen: 1312K->288K(2048K)] 7318K->6438K(9216K), 0.0017151 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.196+0800: 0.938: [GC (Allocation Failure) [PSYoungGen: 1312K->288K(2560K)] 7462K->6582K(9728K), 0.0015544 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.199+0800: 0.941: [GC (Allocation Failure) [PSYoungGen: 1824K->352K(2048K)] 8118K->6790K(9216K), 0.0017225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.202+0800: 0.945: [GC (Allocation Failure) [PSYoungGen: 1888K->320K(2560K)] 8326K->6942K(9728K), 0.0016991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.207+0800: 0.949: [GC (Allocation Failure) [PSYoungGen: 2368K->320K(2560K)] 8990K->7142K(9728K), 0.0024573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.213+0800: 0.955: [GC (Allocation Failure) [PSYoungGen: 2368K->352K(2560K)] 9190K->7406K(9728K), 0.0020218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.215+0800: 0.957: [Full GC (Ergonomics) [PSYoungGen: 352K->0K(2560K)] [ParOldGen: 7054K->5665K(7168K)] 7406K->5665K(9728K), [Metaspace: 4052K->4052K(1056768K)], 0.0406599 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2021-04-26T22:33:00.259+0800: 1.001: [GC (Allocation Failure) [PSYoungGen: 2048K->320K(2560K)] 7713K->5985K(9728K), 0.0029116 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.264+0800: 1.006: [GC (Allocation Failure) [PSYoungGen: 2368K->320K(2560K)] 8033K->6225K(9728K), 0.0018519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.268+0800: 1.010: [GC (Allocation Failure) [PSYoungGen: 2368K->501K(2560K)] 8273K->6679K(9728K), 0.0021891 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.273+0800: 1.015: [GC (Allocation Failure) [PSYoungGen: 2549K->256K(1536K)] 8727K->6919K(8704K), 0.0030069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.277+0800: 1.019: [GC (Allocation Failure) [PSYoungGen: 1280K->256K(2048K)] 7943K->7143K(9216K), 0.0038359 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.281+0800: 1.023: [Full GC (Ergonomics) [PSYoungGen: 256K->0K(2048K)] [ParOldGen: 6887K->6670K(7168K)] 7143K->6670K(9216K), [Metaspace: 4052K->4052K(1056768K)], 0.0254029 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:00.308+0800: 1.050: [GC (Allocation Failure) [PSYoungGen: 1024K->256K(2048K)] 7694K->6926K(9216K), 0.0021855 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.312+0800: 1.054: [GC (Allocation Failure) [PSYoungGen: 1280K->256K(2048K)] 7950K->7062K(9216K), 0.0031924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.315+0800: 1.058: [Full GC (Ergonomics) [PSYoungGen: 256K->0K(2048K)] [ParOldGen: 6806K->6871K(7168K)] 7062K->6871K(9216K), [Metaspace: 4052K->4052K(1056768K)], 0.0269647 secs] [Times: user=0.25 sys=0.02, real=0.03 secs] 
2021-04-26T22:33:00.344+0800: 1.086: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(2048K)] [ParOldGen: 6871K->7007K(7168K)] 7895K->7007K(9216K), [Metaspace: 4112K->4112K(1056768K)], 0.0165247 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.362+0800: 1.104: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(2048K)] [ParOldGen: 7007K->7143K(7168K)] 8031K->7143K(9216K), [Metaspace: 4166K->4166K(1056768K)], 0.0166994 secs] [Times: user=0.13 sys=0.02, real=0.02 secs] 
2021-04-26T22:33:00.380+0800: 1.123: [Full GC (Ergonomics) [PSYoungGen: 1024K->153K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7297K(9216K), [Metaspace: 4180K->4180K(1056768K)], 0.0226965 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.404+0800: 1.146: [Full GC (Ergonomics) [PSYoungGen: 1024K->382K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7526K(9216K), [Metaspace: 4186K->4186K(1056768K)], 0.0218232 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.427+0800: 1.169: [Full GC (Ergonomics) [PSYoungGen: 1024K->479K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7623K(9216K), [Metaspace: 4187K->4187K(1056768K)], 0.0196055 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.448+0800: 1.190: [Full GC (Ergonomics) [PSYoungGen: 1024K->546K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7689K(9216K), [Metaspace: 4203K->4203K(1056768K)], 0.0163898 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.465+0800: 1.207: [Full GC (Ergonomics) [PSYoungGen: 1024K->606K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7749K(9216K), [Metaspace: 4246K->4246K(1056768K)], 0.0160941 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.482+0800: 1.224: [Full GC (Ergonomics) [PSYoungGen: 1024K->661K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7805K(9216K), [Metaspace: 4269K->4269K(1056768K)], 0.0145498 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-04-26T22:33:00.497+0800: 1.239: [Full GC (Ergonomics) [PSYoungGen: 1024K->708K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7851K(9216K), [Metaspace: 4294K->4294K(1056768K)], 0.0174074 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.515+0800: 1.257: [Full GC (Ergonomics) [PSYoungGen: 1024K->751K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7895K(9216K), [Metaspace: 4301K->4301K(1056768K)], 0.0213179 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.537+0800: 1.279: [Full GC (Ergonomics) [PSYoungGen: 1024K->793K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7937K(9216K), [Metaspace: 4309K->4309K(1056768K)], 0.0175080 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.555+0800: 1.297: [Full GC (Ergonomics) [PSYoungGen: 1024K->824K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7967K(9216K), [Metaspace: 4321K->4321K(1056768K)], 0.0147310 secs] [Times: user=0.13 sys=0.02, real=0.01 secs] 
2021-04-26T22:33:00.570+0800: 1.313: [Full GC (Ergonomics) [PSYoungGen: 1024K->850K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->7993K(9216K), [Metaspace: 4329K->4329K(1056768K)], 0.0217367 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.592+0800: 1.335: [Full GC (Ergonomics) [PSYoungGen: 1024K->874K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8017K(9216K), [Metaspace: 4335K->4335K(1056768K)], 0.0163171 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.608+0800: 1.351: [Full GC (Ergonomics) [PSYoungGen: 1024K->895K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8038K(9216K), [Metaspace: 4335K->4335K(1056768K)], 0.0195650 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.629+0800: 1.371: [Full GC (Ergonomics) [PSYoungGen: 1024K->912K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8055K(9216K), [Metaspace: 4335K->4335K(1056768K)], 0.0235175 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.652+0800: 1.395: [Full GC (Ergonomics) [PSYoungGen: 1024K->948K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8091K(9216K), [Metaspace: 4337K->4337K(1056768K)], 0.0185317 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.672+0800: 1.414: [Full GC (Ergonomics) [PSYoungGen: 1024K->958K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8101K(9216K), [Metaspace: 4337K->4337K(1056768K)], 0.0199713 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.692+0800: 1.434: [Full GC (Ergonomics) [PSYoungGen: 1024K->966K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8110K(9216K), [Metaspace: 4338K->4338K(1056768K)], 0.0215315 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.713+0800: 1.456: [Full GC (Ergonomics) [PSYoungGen: 1024K->979K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8122K(9216K), [Metaspace: 4338K->4338K(1056768K)], 0.0256716 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:00.740+0800: 1.482: [Full GC (Ergonomics) [PSYoungGen: 1024K->987K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8130K(9216K), [Metaspace: 4339K->4339K(1056768K)], 0.0210378 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.761+0800: 1.503: [Full GC (Ergonomics) [PSYoungGen: 1024K->967K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8110K(9216K), [Metaspace: 4340K->4340K(1056768K)], 0.0271016 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
